SUCCESS,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT,BRANCH,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE
true,58,85,246,0,389,0.389,"508d6067f405dc8b85d5d76d034727d784688bf6
","https://github.com/sewenthy/petgraph/commit/508d6067f405dc8b85d5d76d034727d784688bf6
",,petgraph,ext1-expr-active,20114,0,0
true,72,65,770,0,908,0.908,"326f1c3814023daef2aa4dbd113a825ec8c91819
","https://github.com/sewenthy/gitoxide/commit/326f1c3814023daef2aa4dbd113a825ec8c91819
",,gitoxide,ext1-expr-active,9131,0,0
true,68,74,1208,1,1351,1.351,"79fa13d3720619e5800abefcd7d479155eacbd04
","https://github.com/sewenthy/gitoxide/commit/79fa13d3720619e5800abefcd7d479155eacbd04
",,gitoxide,ext2-expr-active,771,0,0
true,76,90,459,0,625,0.625,"564fd5f96f1dde0bd6bb70aaabeae4d43c2ea8cd
","https://github.com/sewenthy/gitoxide/commit/564fd5f96f1dde0bd6bb70aaabeae4d43c2ea8cd
",,gitoxide,ext-com1-expr-active,574,0,0
true,101,127,1063,1,1291,1.291,"a7d62ecf5ee17502016c9125f12bb5755ae99841
","https://github.com/sewenthy/gitoxide/commit/a7d62ecf5ee17502016c9125f12bb5755ae99841
",,gitoxide,ext-com2-expr-active,6761,0,0
true,91,92,885,1,1069,1.069,"6f1f9cee9bc33e76c2f2472b190a2327b3764347
","https://github.com/sewenthy/gitoxide/commit/6f1f9cee9bc33e76c2f2472b190a2327b3764347
",,gitoxide,inline-ext1-expr-active,375,0,0
true,98,134,2432,3,2665,2.665,"5d0e3f7748791819a0b14c84393dfc84307fb752
","https://github.com/sewenthy/gitoxide/commit/5d0e3f7748791819a0b14c84393dfc84307fb752
",,gitoxide,inline-ext2-expr-active,3759,0,0
false,74,110,1073,1,1257,1.2570000000000001,"f239a954f866f1d2603297d9d5d486e93b8bb29c
","https://github.com/sewenthy/gitoxide/commit/f239a954f866f1d2603297d9d5d486e93b8bb29c
",cargo,gitoxide,inline-ext3-expr-active,20211,0,0
true,76,111,608,0,796,0.796,"30261b75f54ea17aa78b02de8de303acf3945ba9
","https://github.com/sewenthy/gitoxide/commit/30261b75f54ea17aa78b02de8de303acf3945ba9
",,gitoxide,inline-ext4-expr-active,630,0,0
true,89,59,511,0,659,0.659,"894dd1c96e51c0f9a668967dc3b1a47c8a3ce08b
","https://github.com/sewenthy/gitoxide/commit/894dd1c96e51c0f9a668967dc3b1a47c8a3ce08b
",,gitoxide,inline-ext5-expr-active,625,0,0
true,67,119,617,0,804,0.804,"a3960265dd61fa0883110b4ad2d34785daad36dc
","https://github.com/sewenthy/gitoxide/commit/a3960265dd61fa0883110b4ad2d34785daad36dc
",,gitoxide,inline-ext6-expr-active,1428,0,0
true,56,67,538,0,662,0.662,"0ad804c3fc7d0218374489e9dc3ee6d37d1dc51a
","https://github.com/sewenthy/gitoxide/commit/0ad804c3fc7d0218374489e9dc3ee6d37d1dc51a
",,gitoxide,inline-ext7-expr-active,1026,0,0
true,80,148,693,0,922,0.922,"23837eed38913fdd37cd061a46d7f5b86e7e0901
","https://github.com/sewenthy/kickoff/commit/23837eed38913fdd37cd061a46d7f5b86e7e0901
",,kickoff,inline-ext1-expr-active,1502,0,0
true,125,155,853,0,1134,1.1340000000000001,"7d90f652b5daad0938a6fffe566fedf3de267e60
","https://github.com/sewenthy/sniffnet/commit/7d90f652b5daad0938a6fffe566fedf3de267e60
",,sniffnet,inline-ext1-expr-active,7283,0,0
false,98,92,687,1,877,0.877,"d29992f0f928fe11ac065d4843bae21af8a058f9
","https://github.com/sewenthy/sniffnet/commit/d29992f0f928fe11ac065d4843bae21af8a058f9
",cargo,sniffnet,inline-ext2-expr-active,7304,0,0
true,75,84,922,0,1082,1.082,"89ce1f575d29a56cee8efaaf315ebeaea4935174
","https://github.com/sewenthy/beerus/commit/89ce1f575d29a56cee8efaaf315ebeaea4935174
",,beerus,ext-com1-expr-active,302,0,0
